Clause,Section Title,Category,Classification,Explanation
Das Arbeitsverhältnis beginnt zum 01.12.2021.,§ 1 Beginn des Arbeitsverhältnisses,Durchführung,0,
"Ist der Arbeitnehmer infolge unverschuldeter Krankheit arbeitsunfähig, so besteht Anspruch auf Fortzahlung der Arbeitsvergütung bis zur Dauer von sechs Wochen nach den gesetzlichen Bestimmungen. Die Arbeitsverhinderung ist dem Arbeitgeber unverzüglich mitzuteilen. Dauert die Arbeitsunfähigkeit länger als drei Kalendertage hat der Arbeitnehmer eine ärztliche Bescheinigung über das Bestehen sowie deren voraussichtliche Dauer spätestens an dem auf den dritten Kalendertag folgenden Arbeitstag vorzulegen. Diese Nachweispflicht gilt auch nach Ablauf der sechs Wochen Der Arbeitgeber ist berechtigt, die Vorlage der Arbeitsunfähigkeitsbescheinigung früher zu verlangen.",§ 10 Krankheit,Krankheit,0,
"Der Arbeitnehmer verpflichtet sich, während der Dauer des Arbeitsverhältnisses und auch nach Ausscheiden, über alle Betriebs- und Geschäftsgeheimnisse Stillschweigen zu bewahren. Dies betrifft insbesondere Kundendaten sowie betreute Mandate. Ein Zuwiderhandeln wird mit einer Vertragsstrafe von 250.000 € festgelegt",§ 11 Verschwiegenheitspflicht,Vertragsstrafe/Wettbewerbsverbot,0.5,im Einzelfall ggf. unverhältnismäßig hohe Vertragsstrafe
Nach Ablauf der Probezeit beträgt die Kündigungsfrist vier Wochen zum 15 oder Ende eines Kalendermonats. Jede gesetzliche Verlängerung der Kündigungsfrist zugunsten des Arbeitnehmers gilt in gleicher Weise auch zugunsten des Arbeitgebers Die Kündigung bedarf der Schriftform. Vor Antritt des Arbeitsverhältnisses ist die Kündigung ausgeschlossen. Der Arbeitgeber ist berechtigt den Arbeitnehmer bis zur Beendigung des Arbeitsverhältnisses freizustellen. Die Freistellung erfolgt unter Anrechnung der dem Arbeitnehmer eventuell noch zustehenden Urlaubsansprüche sowie eventueller Guthaben auf dem Arbeitszeitkonto. In der Zeit der Freistellung hat sich der Arbeitnehmer einen durch Verwendung seiner Arbeitskraft erzielten Verdienst auf den Vergütungsanspruch gegenüber dem Arbeitgeber anrechnen zu lassen. Das Arbeitsverhältnis endet spätestens mit Ablauf des Monats in dem der Arbeitnehmer das für ihn gesetzlich festgelegte Renteneintrittsalter vollendet hat.,§ 12 Kündigung,Kündigung/Beendigung,0,
"Die Vertragsparteien müssen Ansprüche aus dem Arbeitsverhältnis innerhalb von drei, Monaten (oder: sechs Monaten) nach ihrer Fälligkeit schriftlich geltend machen und im Falle der Ablehnung durch die Gegenseite innerhalb von weiteren drei Monaten einklagen. Andernfalls erloschen sie. Für Ansprüche aus unerlaubter Handlung verbleibt es bei der gesetzlichen Regelung",§ 13 Verfall-/Ausschlussfristen,Verjährung,1,Textform ist ausreichend
"Aus dem reinen einseitigen Verhalten des Arbeitgebers erwachsen dem Arbeitnehmer keine vertraglichen Rechtsansprüche, sofern nicht eine mündliche oder schriftliche einvernehmliche Vertragsänderung vorliegt (Ausschluss der betrieblichen Übung). Sollten einzelne Bestimmungen dieses Vertrages unwirksam sein oder werden wird hierdurch die Wirksamkeit des Vertrages im Übrigen nicht berührt. Der Arbeitnehmer verpflichtet sich, dem Arbeitgeber unverzüglich über Veränderungen der persönlichen Verhältnisse wie Familienstand, Kinderzahl und Adresse Mitteilung zu machen.",§ 14 Vertragsänderungen und Nebenabreden,Sonstiges,0,
Das Arbeitsverhältnis wird auf unbestimmte Zeit geschlossen.,§ 2 Probezeit,Durchführung,0,
"Der Arbeitnehmer wird als Social-Media-Mitarbeiterin eingestellt und vor allem mit folgenden Tätigkeiten beschäftigt:
• Facebook-Gruppen-Pflege
• Nachrichten-Austausch in der Facebook-Gruppe
• Konversationen in der Gruppe
Er verpflichtet sich auch andere Arbeiten auszufuhren - auch an einem anderen Ort - die seinen Vorkenntnissen und Fähigkeiten entsprechen. Dies gilt, soweit es bei Abwägung der Interessen des Arbeitgebers und des Arbeitnehmers zumutbar und nicht mit einer Lohnminderung verbunden ist",§ 3 Tätigkeit,Leistungen,0,
Der Arbeitnehmer erhalt eine maximale monatliche Bruttovergütung von 450 € bei einer Stundenvergütung von 13.00 € pro Stunde.,§ 4 Arbeitsvergütung,Vergütung,0,"Mindestlohn von 12,40 € gewahrt"
Die regelmäßige wöchentliche Arbeitszeit wird nach betrieblichem Verlangen definiert. Beginn und Ende der täglichen Arbeitszeit richten sich nach der betrieblichen Einteilung.,§ 5 Arbeitszeit,Leistungen,0,
